dataType,metadata_generatedAt,metadata_generatedBy,metadata_logFileName,metadata_schemaVersion,metadata_RSUID,metadata_kind,metadata_psid,metadata_bsmSource,metadata_externalID,coreData_msgCnt,coreData_id,coreData_secMark,coreData_position_lat,coreData_position_long,coreData_elevation,coreData_accelset_accelYaw,coreData_accelset_lat,coreData_accelset_long,coreData_accelset_vert,coreData_angle,coreData_accuracy_orientation,coreData_accuracy_semiMajor,coreData_accuracy_semiMinor,coreData_transmission,coreData_speed,coreData_heading,coreData_brakes_wheelBrakes_leftFront,coreData_brakes_wheelBrakes_rightFront,coreData_brakes_wheelBrakes_unavailable,coreData_brakes_wheelBrakes_leftRear,coreData_brakes_wheelBrakes_rightRear,coreData_brakes_traction,coreData_brakes_abs,coreData_brakes_scs,coreData_brakes_brakeBoost,coreData_brakes_auxBrakes,coreData_size,part2_suve_classification,part2_suve_cd_hpmstype,part2_suve_cd_role,part2_suve_vd_height,part2_suve_vd_mass,part2_suve_vd_bumpers_front,part2_suve_vd_bumpers_rear,part2_vse_events,part2_vse_ph_crumbdata,part2_vse_pp_confidence,part2_vse_pp_radiusofcurve,part2_vse_lights,coreData_position,randomNum,metadata_generatedAt_timeOfDay
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,24,8690389,41549,"279,496,664","-824,491,684",-201,1,5,-27,49,127,"26,093",16,12,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491684 27.9496664),0.553587743,0.778055556
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,121,8690389,29650,"279,496,794","-824,491,546",-211,-1,5,-25,48,127,"27,114",13,10,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491546 27.9496794),0.746895442,0.791388889
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,116,8690389,25100,"279,496,632","-824,491,847",-193,56,50,-259,49,127,"26,237",19,14,unavailable,56,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491847 27.9496632),0.063470979,0.773611111
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,33,8690389,46399,"279,499,784","-824,488,131",-229,-717,-141,66,48,127,"26,112",13,10,unavailable,438,"28,605",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4488131 27.9499784),0.844829904,0.796111111
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,75,8690389,50600,"279,503,452","-824,488,365",-231,17,-20,52,49,127,"25,118",14,11,unavailable,526,"28,521",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4488365 27.9503452),0.682867953,0.797222222
bsm,3/19/2021 0:20,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,56,8690389,24100,"279,505,405","-824,459,220",-264,-16,3,-104,49,127,"3,518",16,16,unavailable,33,"7,215",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.445922 27.9505405),0.829952658,0.34
bsm,3/19/2021 0:20,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,87,8690389,1599,"279,505,269","-824,480,009",-247,-100,-58,-16,48,127,"18,299",14,13,unavailable,532,"7,216",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4480009 27.9505269),0.166598465,0.333611111
bsm,3/19/2021 0:48,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,70,8690389,2900,"279,516,052","-824,489,458",-220,-13,-9,-14,49,127,"23,638",15,12,unavailable,519,"28,431",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4489458 27.9516052),0.81147368,0.800555556
bsm,3/19/2021 0:46,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,94,8690389,48499,"279,496,675","-824,491,656",-203,0,5,-26,48,127,"26,607",16,12,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491656 27.9496675),0.327412805,0.78
bsm,3/19/2021 0:47,rsu,2021_3_19_0_thea25.csv,1,thea25,in,32,RV,NA,107,8690389,15400,"279,496,767","-824,491,575",-206,3,4,-26,49,127,"26,836",13,10,unavailable,0,"6,762",0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",,,,,,,,,,,,,POINT (-82.4491575 27.9496767),0.160140755,0.7875
